
0.004	0.002
0.099	0.001
0.201	0.001
0.302	0.001
0.403	0.001
0.504	0.001
0.606	0.001
0.706	0.001
0.806	0.001
0.906	0.001
1.007	0.001
1.108	0.001
1.210	0.001
1.312	0.001
1.414	0.002
1.516	0.002
1.617	0.005
1.718	0.028
1.815	0.105
1.908	0.243
1.999	0.428
2.089	0.639
2.178	0.861
2.267	1.096
2.354	1.331
2.496	1.723
2.595	2.002
2.693	2.278
2.792	2.561
2.890	2.843
2.987	3.126
3.084	3.406
3.182	3.691
3.280	3.982
3.379	4.271
3.477	4.559
3.574	4.848
3.676	5.148
3.775	5.442
3.872	5.731
3.970	6.022
4.068	6.312
4.165	6.602
4.268	6.909
4.366	7.202
4.463	7.492
4.560	7.782
4.662	8.088
4.761	8.386
4.861	8.686
4.950	8.951
