
1.092	0.002
1.097	0.001
1.093	0.001
1.095	0.002
1.096	0.002
1.092	0.001
1.096	0.002
1.095	0.002
0.806	0.002
0.905	0.002
1.007	0.001
1.108	0.001
1.210	0.002
1.312	0.001
1.414	0.001
1.515	0.002
1.617	0.005
1.718	0.022
1.817	0.064
1.913	0.125
2.010	0.197
2.107	0.275
2.203	0.359
2.300	0.445
2.395	0.531
2.492	0.621
2.589	0.712
2.686	0.804
2.781	0.893
2.878	0.987
2.974	1.079
3.069	1.170
3.164	1.261
3.260	1.355
3.356	1.449
3.453	1.543
3.549	1.638
3.645	1.732
3.741	1.825
3.835	1.917
3.932	2.013
4.028	2.108
4.124	2.202
4.220	2.297
4.316	2.392
4.411	2.485
4.597	2.671
4.698	2.770
4.799	2.871
4.900	2.972
4.998	3.068
